,sub_num,age,block,planet_num,stay_num,stay?,galaxy,prior_galaxy,num_in_gal,true_planet,rt,zlog_rt,planet_n_norm,switch,age_group,agez
1,152,10.63,4,35,1,1,2,0,1,64,786.5,0.7153310697571441,1.1905778967187908,no_switch,child,-1.2624329585584944
1,152,10.63,4,36,1,1,2,0,2,65,577.8,0.41554537312222417,1.2751823191739788,no_switch,child,-1.2624329585584944
1,152,10.63,4,37,1,1,2,0,3,66,771.3,0.6963586996366917,1.359786741629167,no_switch,child,-1.2624329585584944
1,152,10.63,4,38,1,1,2,0,4,67,466.6000001,0.2077369850754408,1.444391164084355,no_switch,child,-1.2624329585584944
1,152,10.63,4,39,1,1,2,0,5,68,195.9000001,-0.6359854819825668,1.528995586539543,no_switch,child,-1.2624329585584944
1,153,17.0,1,0,1,1,0,100,0,0,2894.7,1.8903046085061477,-1.728723192522489,no_switch,adolescent,-0.048868223950248105
1,153,17.0,1,1,1,1,0,100,1,1,279.1,-0.17129965877021677,-1.6016556844966847,no_switch,adolescent,-0.048868223950248105
1,153,17.0,1,2,1,1,1,0,0,2,886.9,0.8477173683502782,-1.4745881764708806,switch,adolescent,-0.048868223950248105
1,153,17.0,1,3,1,1,1,0,1,3,621.1,0.5337347819408662,-1.3475206684450762,no_switch,adolescent,-0.048868223950248105
1,153,17.0,1,4,1,1,1,0,2,4,149.7,-0.7203431349009864,-1.220453160419272,no_switch,adolescent,-0.048868223950248105
1,153,17.0,1,5,1,1,2,1,0,5,538.7,0.4082852225286903,-1.0933856523934677,switch,adolescent,-0.048868223950248105
1,153,17.0,1,6,1,0,2,1,1,6,211.8,-0.41449655398160934,-0.9663181443676636,no_switch,adolescent,-0.048868223950248105
1,153,17.0,2,7,1,1,0,2,0,20,1325.5,1.2018667350630043,-0.8392506363418594,switch,adolescent,-0.048868223950248105
1,153,17.0,2,8,1,1,0,2,1,21,181.3,-0.5515415760460951,-0.7121831283160551,no_switch,adolescent,-0.048868223950248105
1,153,17.0,2,9,1,1,0,2,2,22,524.3,0.38440444269197876,-0.5851156202902509,no_switch,adolescent,-0.048868223950248105
1,153,17.0,2,10,1,1,2,0,0,23,92.5,-1.1446607234458954,-0.45804811226444664,switch,adolescent,-0.048868223950248105
1,153,17.0,2,11,1,1,2,0,1,24,164.7,-0.6361781837776045,-0.3309806042386424,no_switch,adolescent,-0.048868223950248105
1,153,17.0,2,12,1,1,2,0,2,25,1515.3,1.3198161313385564,-0.20391309621283818,no_switch,adolescent,-0.048868223950248105
1,153,17.0,3,13,1,1,1,2,0,40,612.3,0.5211577313812489,-0.07684558818703395,switch,adolescent,-0.048868223950248105
1,153,17.0,3,14,1,1,2,1,0,41,86.5,-1.2037697299755135,0.05022191983877029,switch,adolescent,-0.048868223950248105
1,153,17.0,3,15,1,1,1,2,0,42,325.2,-0.0365630373766335,0.17728942786457452,switch,adolescent,-0.048868223950248105
1,153,17.0,3,16,1,1,1,2,1,43,4.7,-3.770858345821717,0.30435693589037877,no_switch,adolescent,-0.048868223950248105
1,153,17.0,3,17,1,1,1,2,2,44,712.8,0.6551084099428639,0.431424443916183,no_switch,adolescent,-0.048868223950248105
1,153,17.0,3,18,1,1,1,2,3,45,772.7,0.7262268828403848,0.5584919519419872,no_switch,adolescent,-0.048868223950248105
1,153,17.0,3,19,1,1,2,1,0,46,426.7,0.2028554786039373,0.6855594599677914,switch,adolescent,-0.048868223950248105
1,153,17.0,4,21,1,1,0,2,0,60,411.2,0.17024315351365713,0.9396944760193999,switch,adolescent,-0.048868223950248105
1,153,17.0,4,22,1,1,0,2,1,61,16.2,-2.6801969807891237,1.0667619840452043,no_switch,adolescent,-0.048868223950248105
1,153,17.0,4,23,1,1,0,2,2,62,533.6,0.3999012498537145,1.1938294920710084,no_switch,adolescent,-0.048868223950248105
1,153,17.0,4,24,1,1,2,0,0,63,670.2,0.6007936908504873,1.3208970000968128,switch,adolescent,-0.048868223950248105
1,153,17.0,4,25,1,1,2,0,1,64,460.2,0.26947009462941546,1.447964508122617,no_switch,adolescent,-0.048868223950248105
